Excipient,Tablet,Pellet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
PH-101,SPIM,AC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,88.22,11.78,0.34,0.4,0.67,0.57,0.45,0.31,0.14
PH-101,SPIM,AC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,80.5,19.5,0.69,0.67,0.55,0.56,0.51,0.26,0.13
PH-101,SPIM,AC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,74.17,25.83,1.24,0.49,0.71,0.57,0.39,0.3,0.08
PH-101,SPIM,AC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,72.56,27.44,0.86,0.52,0.73,0.71,0.36,0.21,0.09
PH-101,SPIM,AC,60,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,75.98,24.02,1.03,0.53,0.58,0.57,0.46,0.28,0.08
PH-101,SPIM,AC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,75.37,24.63,0.59,0.66,0.79,0.54,0.46,0.25,0.09
PH-101,SPIM,AC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,83.64,16.36,0.54,0.53,0.77,0.6,0.38,0.27,0.17
PH-101,SPIM,AC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,78.71,21.29,0.64,0.55,0.74,0.52,0.46,0.28,0.1
PH-101,SPIM,AC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,82.19,17.81,0.69,0.6,0.74,0.52,0.36,0.27,0.17
PH-101,SPIM,AC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,74.62,25.38,0.8,0.74,0.67,0.53,0.43,0.25,0.1
PH-101,SPIM,AC,80,PH,38.2168954,17.35,31.05,49.8,68.5,81.94,1.29698795,49.83,0.3229,0.49676923,1.53846154,0.35,48.48,68.92,31.08,1.38,0.65,0.78,0.52,0.34,0.2,0.12
PH-102,SPIM,EC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,95.26,4.74,0.06,0.22,0.43,0.87,0.66,0.27,0.24
PH-102,SPIM,EC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,94.67,5.33,0.29,0.17,0.45,0.57,0.57,0.33,0.19
PH-102,SPIM,EC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,93.07,6.93,0.49,0.18,0.36,0.53,0.54,0.3,0.18
PH-102,SPIM,EC,20,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,89.34,10.66,0.57,0.24,0.41,0.49,0.51,0.28,0.17
PH-102,SPIM,EC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,83.81,16.19,0.86,0.47,0.5,0.62,0.49,0.49,0.12
PH-102,SPIM,EC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,91.23,8.77,0.76,0.58,0.6,0.5,0.5,0.26,0.16
PH-102,SPIM,EC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,98.07,1.93,0.49,0.27,0.4,0.56,0.54,0.38,0.15
PH-102,SPIM,EC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,82.69,17.31,0.74,0.43,0.47,0.5,0.49,0.27,0.16
PH-102,SPIM,EC,40,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,90.5,9.5,0.59,0.27,0.41,0.49,0.5,0.37,0.16
PH-102,SPIM,EC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,90.1,9.9,1,0.74,0.7,0.59,0.41,0.24,0.06
PH-102,SPIM,EC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,84.75,15.25,0.71,0.7,0.74,0.65,0.42,0.26,0.06
PH-102,SPIM,EC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,70.84,29.16,0.94,0.53,0.66,0.55,0.57,0.29,0.06
PH-102,SPIM,EC,60,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,83.46,16.54,0.76,0.43,0.5,0.57,0.53,0.33,0.16
PH-102,SPIM,EC,80,PH,26.5048767,35.62,72.07,125.3,168.4,200.4,1.3150838,121.7,0.3252,0.47823529,1.47058824,0.32,46.64,39.61,60.39,1.67,1.34,1.06,0.35,0.21,0.07,0.02
