Excipient,Tablet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
PH-101,MUPS,40,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,60.66,39.34,1.64,1.13,0.62,0.44,0.29,0.14,0.13
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,66.08,33.92,1.20,0.78,0.86,0.53,0.32,0.18,0.11
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,72.21,27.79,0.96,0.86,0.67,0.46,0.46,0.20,0.13
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,56.91,43.09,1.45,1.14,0.65,0.51,0.31,0.13,0.07
PH-101,MUPS,60,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,59.34,40.66,1.17,1.11,0.85,0.50,0.29,0.13,0.09
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,34.19,65.81,2.63,1.57,0.69,0.32,0.11,0.05,0.02
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,35.67,64.33,2.09,1.76,0.88,0.28,0.14,0.05,0.02
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,47.23,52.77,1.94,1.44,0.66,0.38,0.32,0.07,0.06
PH-101,MUPS,80,PH,38.21689545,17.35,31.05,49.8,68.5,81.94,1.296987952,49.83,0.3229,0.4967692308,1.538461538,0.35,48.48,43.73,56.27,1.75,1.58,0.83,0.43,0.23,0.09,0.02
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,103.83,0.00,0.24,0.12,0.36,0.49,0.56,0.39,0.24
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,87.80,12.20,0.68,0.52,0.57,0.56,0.42,0.28,0.16
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,75.22,24.78,0.98,0.57,0.50,0.39,0.47,0.22,0.15
PH-102,MUPS,20,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,79.57,20.43,0.57,0.52,0.64,0.55,0.37,0.32,0.14
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,62.30,37.70,2.26,0.65,0.50,0.44,0.31,0.17,0.16
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,70.06,29.94,0.93,0.86,0.69,0.45,0.32,0.25,0.15
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,64.31,35.69,0.79,0.73,0.77,0.61,0.38,0.23,0.05
PH-102,MUPS,40,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,67.89,32.11,0.91,0.94,0.64,0.50,0.33,0.24,0.13
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,45.99,54.01,2.21,1.44,0.59,0.34,0.24,0.15,0.06
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,46.81,53.19,1.13,0.90,0.65,0.55,0.37,0.20,0.12
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,46.93,53.07,1.65,1.33,0.70,0.46,0.43,0.06,0.05
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,40.03,59.97,1.92,1.56,0.63,0.33,0.31,0.11,0.08
PH-102,MUPS,60,PH,26.50487674,35.62,72.07,125.3,168.4,200.4,1.315083799,121.7,0.3252,0.4782352941,1.470588235,0.32,46.64,42.16,57.84,2.21,1.22,0.77,0.37,0.32,0.08,0.03
